pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2400004-151	|	26	26	123	|	56	4.427	|	0.464	2.055	2.055	26	0.211
2400004-152	|	19	19	152	|	73	4.427	|	0.26	1.152	1.152	19	0.125
2400004-153	|	19	19	117	|	49	4.427	|	0.388	1.717	1.717	19	0.162
2400004-154	|	25	25	191	|	82	4.427	|	0.305	1.35	1.350	25	0.131
2400004-155	|	20	20	113	|	41	4.427	|	0.488	2.16	2.160	20	0.177
2400004-156	|	25	25	173	|	63	4.427	|	0.397	1.757	1.757	25	0.145
2400004-157	|	15	15	112	|	42	4.427	|	0.357	1.581	1.581	15	0.134
2400004-158	|	43	43	347	|	154	4.427	|	0.279	1.236	1.236	43	0.124
2400004-159	|	110	110	608	|	265	4.427	|	0.415	1.838	1.838	110	0.181
2400004-160	|	42	42	384	|	177	4.427	|	0.237	1.05	1.050	42	0.109
2400004-161	|	108	108	684	|	288	4.427	|	0.375	1.66	1.660	108	0.158
2400004-162	|	42	42	390	|	167	4.427	|	0.251	1.113	1.113	42	0.108
2400004-163	|	108	108	651	|	261	4.427	|	0.414	1.832	1.832	108	0.166
2400004-164	|	43	43	359	|	156	4.427	|	0.276	1.22	1.220	43	0.12
2400004-165	|	92	92	581	|	245	4.427	|	0.376	1.662	1.662	92	0.158
2400004-166	|	39	39	248	|	112	4.427	|	0.348	1.542	1.542	39	0.157
2400004-167	|	70	70	361	|	159	4.427	|	0.44	1.949	1.949	70	0.194
2400004-168	|	67	67	240	|	173	4.427	|	0.387	1.715	1.715	67	0.279
2400004-169	|	38	38	135	|	97	4.427	|	0.392	1.734	1.734	38	0.281
2400004-170	|	95	94	358	|	263	4.427	|	0.361	1.599	1.582	94	0.265
2400004-171	|	53	53	226	|	173	4.427	|	0.306	1.356	1.356	53	0.235
2400004-172	|	60	59	228	|	168	4.427	|	0.357	1.581	1.555	59	0.263
2400004-173	|	26	26	107	|	81	4.427	|	0.321	1.421	1.421	26	0.243
2400004-174	|	41	40	161	|	120	4.427	|	0.342	1.513	1.476	40	0.255
2400004-175	|	21	21	81	|	60	4.427	|	0.35	1.549	1.549	21	0.259
2400004-176	|	79	79	307	|	228	4.427	|	0.346	1.534	1.534	79	0.257
2400004-177	|	43	43	143	|	100	4.427	|	0.43	1.904	1.904	43	0.301
2400004-178	|	63	62	243	|	180	4.427	|	0.35	1.549	1.525	62	0.259
2400004-179	|	32	32	110	|	78	4.427	|	0.41	1.816	1.816	32	0.291
2400004-180	|	90	89	321	|	231	4.427	|	0.39	1.725	1.706	89	0.28
2400004-181	|	56	56	195	|	139	4.427	|	0.403	1.784	1.784	56	0.287
2400004-182	|	72	72	261	|	189	4.427	|	0.381	1.686	1.686	72	0.276
2400004-183	|	35	35	135	|	100	4.427	|	0.35	1.549	1.549	35	0.259
2400004-184	|	65	64	233	|	168	4.427	|	0.387	1.713	1.686	64	0.279
2400004-185	|	28	28	117	|	89	4.427	|	0.315	1.393	1.393	28	0.239
2400004-186	|	178	177	665	|	487	4.427	|	0.366	1.618	1.609	177	0.268
2400004-187	|	293	292	1010	|	717	4.427	|	0.409	1.809	1.803	292	0.29
2400004-188	|	165	164	601	|	436	4.427	|	0.378	1.675	1.665	164	0.275
2400004-189	|	246	245	872	|	626	4.427	|	0.393	1.74	1.733	245	0.282
2400004-190	|	153	152	584	|	431	4.427	|	0.355	1.572	1.561	152	0.262
2400004-191	|	229	228	792	|	563	4.427	|	0.407	1.801	1.793	228	0.289
2400004-192	|	177	176	647	|	470	4.427	|	0.377	1.667	1.658	176	0.274
