pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2120020-253	|	30	30	154	|	103	9.345	|	0.291	2.722	2.722	30	0.195
2120020-254	|	48	48	230	|	163	9.345	|	0.294	2.752	2.752	48	0.209
2120020-255	|	44	44	188	|	127	9.345	|	0.346	3.238	3.238	44	0.234
2120020-256	|	37	37	180	|	122	9.345	|	0.303	2.834	2.834	37	0.206
2120020-257	|	28	28	127	|	84	9.345	|	0.333	3.115	3.115	28	0.22
2120020-258	|	29	29	152	|	111	9.345	|	0.261	2.441	2.441	29	0.191
2120020-259	|	13	13	104	|	83	9.345	|	0.157	1.464	1.464	13	0.125
2120020-260	|	43	43	204	|	145	9.345	|	0.297	2.771	2.771	43	0.211
2120020-261	|	31	30	144	|	101	9.345	|	0.307	2.868	2.776	30	0.215
2120020-262	|	39	39	176	|	117	9.345	|	0.333	3.115	3.115	39	0.222
2120020-263	|	20	20	116	|	82	9.345	|	0.244	2.279	2.279	20	0.172
2120020-264	|	49	49	194	|	128	9.345	|	0.383	3.577	3.577	49	0.253
2120020-265	|	43	43	165	|	109	9.345	|	0.394	3.687	3.687	43	0.261
2120020-266	|	41	41	174	|	117	9.345	|	0.35	3.275	3.275	41	0.236
2120020-267	|	27	27	123	|	85	9.345	|	0.318	2.968	2.968	27	0.22
2120020-268	|	40	40	176	|	125	9.345	|	0.32	2.99	2.990	40	0.227
2120020-269	|	20	20	114	|	84	9.345	|	0.238	2.225	2.225	20	0.175
2120020-270	|	75	75	380	|	275	9.345	|	0.273	2.549	2.549	75	0.197
2120020-271	|	154	154	741	|	543	9.345	|	0.284	2.65	2.650	154	0.208
2120020-272	|	77	77	378	|	274	9.345	|	0.281	2.626	2.626	77	0.204
2120020-273	|	113	113	583	|	431	9.345	|	0.262	2.45	2.450	113	0.194
2120020-274	|	78	78	384	|	274	9.345	|	0.285	2.66	2.660	78	0.203
2120020-275	|	104	104	643	|	490	9.345	|	0.212	1.983	1.983	104	0.162
2120020-276	|	77	77	379	|	271	9.345	|	0.284	2.655	2.655	77	0.203
2120020-277	|	122	122	619	|	444	9.345	|	0.275	2.568	2.568	122	0.197
2120020-278	|	51	51	235	|	171	9.345	|	0.298	2.787	2.787	51	0.217
2120020-279	|	74	74	243	|	151	9.345	|	0.49	4.58	4.580	74	0.305
2120020-280	|	370	369	2464	|	1986	9.345	|	0.186	1.741	1.736	369	0.15
2120020-281	|	95	94	684	|	565	9.345	|	0.168	1.571	1.555	94	0.139
2120020-282	|	555	554	3290	|	2605	9.345	|	0.213	1.991	1.987	554	0.169
2120020-283	|	203	203	1308	|	1048	9.345	|	0.194	1.81	1.810	203	0.155
2120020-284	|	329	328	2270	|	1835	9.345	|	0.179	1.675	1.670	328	0.145
2120020-285	|	65	65	573	|	478	9.345	|	0.136	1.271	1.271	65	0.113
2120020-286	|	165	165	1473	|	1243	9.345	|	0.133	1.24	1.240	165	0.112
