pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2370005-216	|	133	133	673	|	251	3.811	|	0.53	2.02	2.020	133	0.198
2370005-217	|	157	157	821	|	307	3.811	|	0.511	1.949	1.949	157	0.191
2370005-218	|	138	138	683	|	258	3.811	|	0.535	2.039	2.039	138	0.202
2370005-219	|	187	187	886	|	320	3.811	|	0.584	2.227	2.227	187	0.211
2370005-220	|	142	142	698	|	266	3.811	|	0.534	2.035	2.035	142	0.203
2370005-221	|	188	188	929	|	358	3.811	|	0.525	2.001	2.001	188	0.202
2370005-222	|	115	115	562	|	212	3.811	|	0.542	2.067	2.067	115	0.205
2370005-223	|	120	120	590	|	211	3.811	|	0.569	2.168	2.168	120	0.203
2370005-224	|	50	50	258	|	83	3.811	|	0.602	2.296	2.296	50	0.194
2370005-225	|	36	36	193	|	57	3.811	|	0.632	2.407	2.407	36	0.187
2370005-226	|	48	48	293	|	99	3.811	|	0.485	1.848	1.848	48	0.164
2370005-227	|	40	40	208	|	66	3.811	|	0.606	2.31	2.310	40	0.192
2370005-228	|	45	45	223	|	72	3.811	|	0.625	2.382	2.382	45	0.202
2370005-229	|	26	26	131	|	40	3.811	|	0.65	2.477	2.477	26	0.198
2370005-230	|	34	34	169	|	55	3.811	|	0.618	2.356	2.356	34	0.201
2370005-231	|	22	22	111	|	44	3.811	|	0.5	1.906	1.906	22	0.198
2370005-232	|	54	54	263	|	87	3.811	|	0.621	2.366	2.366	54	0.205
2370005-233	|	35	34	168	|	59	3.811	|	0.593	2.261	2.196	34	0.208
2370005-234	|	39	39	211	|	71	3.811	|	0.549	2.094	2.094	39	0.185
2370005-235	|	18	18	96	|	27	3.811	|	0.667	2.541	2.541	18	0.188
2370005-236	|	56	56	240	|	75	3.811	|	0.747	2.846	2.846	56	0.233
2370005-237	|	44	44	201	|	68	3.811	|	0.647	2.466	2.466	44	0.219
2370005-238	|	48	48	246	|	82	3.811	|	0.585	2.231	2.231	48	0.195
2370005-239	|	36	36	163	|	44	3.811	|	0.818	3.118	3.118	36	0.221
2370005-240	|	44	44	237	|	67	3.811	|	0.657	2.503	2.503	44	0.186
2370005-241	|	12	12	104	|	29	3.811	|	0.414	1.577	1.577	12	0.115
2370005-242	|	99	99	485	|	165	3.811	|	0.6	2.287	2.287	99	0.204
2370005-243	|	182	182	863	|	299	3.811	|	0.609	2.32	2.320	182	0.211
2370005-244	|	92	92	449	|	152	3.811	|	0.605	2.307	2.307	92	0.205
2370005-245	|	148	148	675	|	233	3.811	|	0.635	2.421	2.421	148	0.219
2370005-246	|	90	90	450	|	151	3.811	|	0.596	2.272	2.272	90	0.2
2370005-247	|	153	153	717	|	242	3.811	|	0.632	2.41	2.410	153	0.213
2370005-248	|	98	98	471	|	161	3.811	|	0.609	2.32	2.320	98	0.208
2370005-249	|	155	155	719	|	245	3.811	|	0.633	2.411	2.411	155	0.216
2370005-250	|	64	64	310	|	112	3.811	|	0.571	2.178	2.178	64	0.206
2370005-251	|	86	86	403	|	127	3.811	|	0.677	2.581	2.581	86	0.213
2370005-252	|	32	32	203	|	88	3.811	|	0.364	1.386	1.386	32	0.158
2370005-253	|	28	28	154	|	52	3.811	|	0.538	2.052	2.052	28	0.182
2370005-254	|	42	42	230	|	97	3.811	|	0.433	1.65	1.650	42	0.183
2370005-255	|	43	43	188	|	75	3.811	|	0.573	2.185	2.185	43	0.229
2370005-256	|	34	34	180	|	71	3.811	|	0.479	1.825	1.825	34	0.189
2370005-257	|	26	26	127	|	56	3.811	|	0.464	1.77	1.770	26	0.205
2370005-258	|	27	27	152	|	60	3.811	|	0.45	1.715	1.715	27	0.178
2370005-259	|	17	17	104	|	45	3.811	|	0.378	1.44	1.440	17	0.163
2370005-260	|	41	41	204	|	84	3.811	|	0.488	1.86	1.860	41	0.201
2370005-261	|	29	29	144	|	58	3.811	|	0.5	1.906	1.906	29	0.201
2370005-262	|	27	27	176	|	70	3.811	|	0.386	1.47	1.470	27	0.153
2370005-263	|	15	15	116	|	51	3.811	|	0.294	1.121	1.121	15	0.129
2370005-264	|	37	37	194	|	82	3.811	|	0.451	1.72	1.720	37	0.191
2370005-265	|	44	44	165	|	67	3.811	|	0.657	2.503	2.503	44	0.267
2370005-266	|	28	28	174	|	72	3.811	|	0.389	1.482	1.482	28	0.161
2370005-267	|	22	22	123	|	49	3.811	|	0.449	1.711	1.711	22	0.179
2370005-268	|	37	37	176	|	73	3.811	|	0.507	1.932	1.932	37	0.21
2370005-269	|	28	28	114	|	44	3.811	|	0.636	2.425	2.425	28	0.246
2370005-270	|	63	63	380	|	168	3.811	|	0.375	1.429	1.429	63	0.166
2370005-271	|	143	143	741	|	318	3.811	|	0.45	1.714	1.714	143	0.193
2370005-272	|	71	71	378	|	168	3.811	|	0.423	1.611	1.611	71	0.188
2370005-273	|	126	126	583	|	246	3.811	|	0.512	1.952	1.952	126	0.216
2370005-274	|	62	62	384	|	167	3.811	|	0.371	1.415	1.415	62	0.161
2370005-275	|	121	121	643	|	262	3.811	|	0.462	1.76	1.760	121	0.188
2370005-276	|	65	65	379	|	165	3.811	|	0.394	1.501	1.501	65	0.172
2370005-277	|	129	129	619	|	254	3.811	|	0.508	1.936	1.936	129	0.208
2370005-278	|	42	42	235	|	108	3.811	|	0.389	1.482	1.482	42	0.179
2370005-279	|	58	58	243	|	91	3.811	|	0.637	2.429	2.429	58	0.239
2370005-280	|	266	266	2464	|	922	3.811	|	0.289	1.1	1.100	266	0.108
2370005-281	|	78	78	684	|	270	3.811	|	0.289	1.101	1.101	78	0.114
2370005-282	|	344	344	3290	|	1214	3.811	|	0.283	1.08	1.080	344	0.105
2370005-283	|	128	128	1308	|	492	3.811	|	0.26	0.992	0.992	128	0.098
2370005-284	|	251	251	2270	|	827	3.811	|	0.304	1.157	1.157	251	0.111
2370005-285	|	55	55	573	|	238	3.811	|	0.231	0.881	0.881	55	0.096
2370005-286	|	161	161	1473	|	578	3.811	|	0.279	1.062	1.062	161	0.109
2370005-287	|	44	44	434	|	177	3.811	|	0.249	0.947	0.947	44	0.101
2370005-288	|	304	304	2633	|	995	3.811	|	0.306	1.164	1.164	304	0.115
2370005-289	|	95	95	736	|	276	3.811	|	0.344	1.312	1.312	95	0.129
2370005-290	|	232	232	2086	|	777	3.811	|	0.299	1.138	1.138	232	0.111
2370005-291	|	49	49	457	|	180	3.811	|	0.272	1.038	1.038	49	0.107
2370005-292	|	366	366	3163	|	1162	3.811	|	0.315	1.2	1.200	366	0.116
2370005-293	|	150	150	1393	|	524	3.811	|	0.286	1.091	1.091	150	0.108
2370005-294	|	318	318	3029	|	1117	3.811	|	0.285	1.085	1.085	318	0.105
2370005-295	|	124	124	1038	|	366	3.811	|	0.339	1.291	1.291	124	0.119
2370005-296	|	262	262	2413	|	858	3.811	|	0.305	1.164	1.164	262	0.109
2370005-297	|	85	85	642	|	232	3.811	|	0.366	1.396	1.396	85	0.132
2370005-298	|	234	234	2153	|	820	3.811	|	0.285	1.088	1.088	234	0.109
2370005-299	|	54	54	515	|	189	3.811	|	0.286	1.089	1.089	54	0.105
2370005-300	|	608	608	2896	|	1104	3.811	|	0.551	2.099	2.099	608	0.21
2370005-301	|	401	400	1806	|	690	3.811	|	0.581	2.215	2.209	400	0.222
2370005-302	|	600	600	2929	|	1092	3.811	|	0.549	2.094	2.094	600	0.205
2370005-303	|	427	427	1743	|	658	3.811	|	0.649	2.473	2.473	427	0.245
2370005-304	|	639	639	2952	|	1120	3.811	|	0.571	2.174	2.174	639	0.216
2370005-305	|	465	465	1726	|	644	3.811	|	0.722	2.752	2.752	465	0.269
2370005-306	|	500	500	2933	|	1043	3.811	|	0.479	1.827	1.827	500	0.17
2370005-307	|	284	284	2161	|	763	3.811	|	0.372	1.419	1.419	284	0.131
2370005-308	|	463	463	1595	|	1132	3.811	|	0.409	1.559	1.559	463	0.29
2370005-309	|	156	156	517	|	361	3.811	|	0.432	1.647	1.647	156	0.302
2370005-310	|	539	537	1833	|	1294	3.811	|	0.417	1.588	1.582	537	0.294
2370005-311	|	191	191	691	|	500	3.811	|	0.382	1.456	1.456	191	0.276
2370005-312	|	448	446	1511	|	1063	3.811	|	0.421	1.606	1.599	446	0.296
2370005-313	|	119	119	429	|	310	3.811	|	0.384	1.463	1.463	119	0.277
2370005-314	|	359	359	1293	|	934	3.811	|	0.384	1.465	1.465	359	0.278
2370005-315	|	118	118	481	|	363	3.811	|	0.325	1.239	1.239	118	0.245
2370005-316	|	491	491	1606	|	1115	3.811	|	0.44	1.678	1.678	491	0.306
2370005-317	|	162	161	530	|	368	3.811	|	0.44	1.678	1.667	161	0.306
2370005-318	|	400	399	1410	|	1010	3.811	|	0.396	1.509	1.506	399	0.284
2370005-319	|	104	103	384	|	280	3.811	|	0.371	1.416	1.402	103	0.271
2370005-320	|	567	566	1835	|	1268	3.811	|	0.447	1.704	1.701	566	0.309
2370005-321	|	214	213	718	|	504	3.811	|	0.425	1.618	1.611	213	0.298
2370005-322	|	530	528	1751	|	1221	3.811	|	0.434	1.654	1.648	528	0.303
2370005-323	|	189	188	615	|	426	3.811	|	0.444	1.691	1.682	188	0.307
2370005-324	|	478	478	1618	|	1140	3.811	|	0.419	1.598	1.598	478	0.295
2370005-325	|	157	157	497	|	340	3.811	|	0.462	1.76	1.760	157	0.316
2370005-326	|	428	428	1468	|	1040	3.811	|	0.412	1.568	1.568	428	0.292
2370005-327	|	101	100	380	|	279	3.811	|	0.362	1.38	1.366	100	0.266
2370005-328	|	1090	1090	2882	|	2018	3.811	|	0.54	2.059	2.059	1090	0.378
2370005-329	|	971	970	1110	|	762	3.811	|	1.274	4.857	4.852	970	0.875
2370005-330	|	1030	1030	3013	|	2124	3.811	|	0.485	1.848	1.848	1030	0.342
2370005-331	|	815	814	1603	|	1127	3.811	|	0.723	2.756	2.753	814	0.508
